"Active Ingredient (link to Specific Guidance)","URL","Type","Route","Dosage Form","RLD or RS Number","Date Recommended","psg filename"
"Clindamycin Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215650.pdf","Draft","Vaginal","Gel","215650","11/17/2022","PSG_215650.pdf"
"Clindamycin Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050600.pdf","Draft","Topical","Lotion","050600","11/21/2023","PSG_050600.pdf"
"Clindamycin Phosphate; Tretinoin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050802.pdf","Draft","Topical","Gel","050802","10/21/2022","PSG_050802.pdf"
"Clindamycin Phosphate; Tretinoin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050803.pdf","Draft","Topical","Gel","050803","10/21/2022","PSG_050803.pdf"
"Clobazam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210833.pdf","Draft","Oral","Film","210833","11/18/2020","PSG_210833.pdf"
"Clobazam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203993.pdf","Draft","Oral","Suspension","203993","10/30/2024","PSG_203993.pdf"
"Clobazam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202067.pdf","Draft","Oral","Tablet","202067","10/30/2024","PSG_202067.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol Propionate_Emollient Cream 0.05_RLD 75430_RC09-16.pdf","Draft","Topical","Cream","020340","10/04/2016","Clobetasol Propionate_Emollient Cream 0.05_RLD 75430_RC09-16.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol Propionate_topical gel 0.05_RLD 75368_RC09-16.pdf","Draft","Topical","Gel","020337","10/04/2016","Clobetasol Propionate_topical gel 0.05_RLD 75368_RC09-16.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol propionate_topical cream_RLD 74220_RC04-16.pdf","Draft","Topical","Cream","019322","04/14/2016","Clobetasol propionate_topical cream_RLD 74220_RC04-16.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol propionate_topical lotion_RLD 21535_RC04-16.pdf","Draft","Topical","Lotion","021535","04/14/2016","Clobetasol propionate_topical lotion_RLD 21535_RC04-16.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol_Propionate_fmaerosol_21142_RC2-11.pdf","Draft","Topical","Aerosol, Foam","021142","02/23/2011","Clobetasol_Propionate_fmaerosol_21142_RC2-11.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol_Propionate_shmp_21644_RC2-11.pdf","Draft","Topical","Shampoo","021644","02/23/2011","Clobetasol_Propionate_shmp_21644_RC2-11.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol_Propionate_spray_21835_RC2-11.pdf","Draft","Topical","Spray","021835","02/23/2011","Clobetasol_Propionate_spray_21835_RC2-11.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol_Propionate_sol_19966_RC08-10.pdf","Draft","Topical","Solution","019966","08/30/2010","Clobetasol_Propionate_sol_19966_RC08-10.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clobetasol propionate_topical ointment_RLD 019323_RC01-16.pdf","Draft","Topical","Ointment","019323","01/27/2016","Clobetasol propionate_topical ointment_RLD 019323_RC01-16.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022013.pdf","Draft","Topical","Aerosol, Foam","022013","11/18/2020","PSG_022013.pdf"
"Clobetasol Propionate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213691.pdf","Draft","Topical","Lotion","213691","05/18/2023","PSG_213691.pdf"
"Clocortolone Pivalate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clocortolone pivalate_topical cream_ NDA 017765_RC05-17.pdf","Draft","Topical","Cream","017765","07/13/2017","Clocortolone pivalate_topical cream_ NDA 017765_RC05-17.pdf"
"Clomiphene Citrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_016131.pdf","Draft","Oral","Tablet","016131","10/30/2024","PSG_016131.pdf"
"Clomipramine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019906.pdf","Draft","Oral","Capsule","019906","10/30/2024","PSG_019906.pdf"
"Clonazepam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020813.pdf","Draft","Oral","Tablet, Orally Disintegrating","020813","10/30/2024","PSG_020813.pdf"
"Clonazepam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017533.pdf","Draft","Oral","Tablet","017533","10/30/2024","PSG_017533.pdf"
"Clonazepam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017533-Sus.pdf","Draft","Oral","Suspension","017533","11/19/2024","PSG_017533-Sus.pdf"
"Clonidine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clonidine_ERtab_22500_RC08-10.pdf","Draft","Oral","Tablet, Extended Release","022500","08/30/2010","Clonidine_ERtab_22500_RC08-10.pdf"
"Clonidine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018891.pdf","Draft","Transdermal","Film, Extended Release","018891","11/21/2019","PSG_018891.pdf"
"Clonidine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clonidine hydrochloride_oral tablet_022331_RC09-15.pdf","Draft","Oral","Tablet, Extended Release","022331","09/18/2015","Clonidine hydrochloride_oral tablet_022331_RC09-15.pdf"
"Clonidine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017407.pdf","Draft","Oral","Tablet","017407","10/30/2024","PSG_017407.pdf"
"Clopidogrel Bisulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020839.pdf","Draft","Oral","Tablet","020839","10/30/2024","PSG_020839.pdf"
"Clorazepate Dipotassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017105.pdf","Draft","Oral","Tablet","017105","10/30/2024","PSG_017105.pdf"
"Clotrimazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clotrimazole Topical Solution NDA 018181 RV Feb 2019.pdf","Draft","Topical","Solution","018181","02/22/2019","Clotrimazole Topical Solution NDA 018181 RV Feb 2019.pdf"
"Clotrimazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clotrimazole Topical Cream ANDA 072640 RV Feb 2019.pdf","Draft","Topical","Cream","072640                                                       017619","02/22/2019","Clotrimazole Topical Cream ANDA 072640 RV Feb 2019.pdf"
"Clotrimazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clotrimazole Vaginal Cream NDA 018052 RV Feb 2019.pdf","Draft","Vaginal","Cream","018052","02/22/2019","Clotrimazole Vaginal Cream NDA 018052 RV Feb 2019.pdf"
"Clotrimazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clotrimazole Vaginal Cream NDA 020574 RV Feb 2019.pdf","Draft","Vaginal","Cream","020574","02/22/2019","Clotrimazole Vaginal Cream NDA 020574 RV Feb 2019.pdf"
"Clotrimazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clotrimazole Vaginal Tablet NDA 017717 RV Feb 2019.pdf","Draft","Vaginal","Tablet","017717","02/22/2019","Clotrimazole Vaginal Tablet NDA 017717 RV Feb 2019.pdf"
"Clotrimazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clotrimazole Vaginal Tablet NDA 020525 RV Feb 2019.pdf","Draft","Vaginal","Tablet","020525","02/22/2019","Clotrimazole Vaginal Tablet NDA 020525 RV Feb 2019.pdf"
"Clotrimazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Clotrimazole_loz_18713_RC9-08.pdf","Draft","Oral","Troche/Lozenge","018713","09/01/2008","Clotrimazole_loz_18713_RC9-08.pdf"
"Clozapine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203479.pdf","Draft","Oral","Suspension","203479","02/17/2022","PSG_203479.pdf"
"Clozapine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019758.pdf","Draft","Oral","Tablet","019758","02/17/2022","PSG_019758.pdf"
"Clozapine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021590.pdf","Draft","Oral","Tablet, Orally Disintegrating","021590","02/17/2022","PSG_021590.pdf"
"Cobicistat","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203094.pdf","Draft","Oral","Tablet","203094","10/30/2024","PSG_203094.pdf"
"Cobicistat; Darunavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cobicistat; Darunavir ethanolate_oral tablet_RLD 205395_RV12-16.pdf","Draft","Oral","Tablet","205395","12/22/2016","Cobicistat; Darunavir ethanolate_oral tablet_RLD 205395_RV12-16.pdf"
"Cobicistat; Darunavir; Emtricitabine; Tenofovir Alafenamide Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210455.pdf","Draft","Oral","Tablet","210455","08/02/2022","PSG_210455.pdf"
"Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Alafenamide Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cobicistat; ElviteNDA 207561_RV08-17.pdf","Draft","Oral","Tablet","207561","10/19/2017","Cobicistat; ElviteNDA 207561_RV08-17.pdf"
"Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Disoproxil Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cobicistat_Elvitegravir..._203100_RC12-14.pdf","Draft","Oral","Tablet","203100","12/29/2014","Cobicistat_Elvitegravir..._203100_RC12-14.pdf"
"Cobimetinib Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206192.pdf","Draft","Oral","Tablet","206192","10/30/2024","PSG_206192.pdf"
"Cocaine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209963.pdf","Draft","Nasal","Solution","209963","12/13/2019","PSG_209963.pdf"
"Cocaine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209575.pdf","Draft","Nasal","Solution","209575","05/19/2022","PSG_209575.pdf"
"Colchicine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_204820.pdf","Draft","Oral","Capsule","204820","10/30/2024","PSG_204820.pdf"
"Colchicine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022352.pdf","Draft","Oral","Tablet","022352","10/30/2024","PSG_022352.pdf"
"Colesevelam Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021176.pdf","Draft","Oral","Tablet","021176","11/08/2021","PSG_021176.pdf"
"Colesevelam Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022362.pdf","Draft","Oral","For Suspension","022362","11/08/2021","PSG_022362.pdf"
"Colesevelam Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210895.pdf","Draft","Oral","Bar, Chewable","210895","11/08/2021","PSG_210895.pdf"
"Colestipol Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Colestipol_Hydrochloride_tab_20222_RC07-14.pdf","Draft","Oral","Tablet","020222","07/22/2014","Colestipol_Hydrochloride_tab_20222_RC07-14.pdf"
"Copper","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018680.pdf","Draft","Intrauterine","Intrauterine Device","018680","11/21/2019","PSG_018680.pdf"
"Copper Dotatate Cu-64","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213227.pdf","Draft","Intravenous","Solution","213227","08/20/2021","PSG_213227.pdf"
"Crisaborole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207695.pdf","Draft","Topical","Ointment","207695","10/21/2022","PSG_207695.pdf"
"Crizotinib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202570.pdf","Draft","Oral","Capsule","202570","10/30/2024","PSG_202570.pdf"
"Crofelemer","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202292.pdf","Draft","Oral","Tablet, Delayed Release","202292","11/18/2020","PSG_202292.pdf"
"Crotamiton","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_006927.pdf","Draft","Topical","Cream","006927","10/21/2022","PSG_006927.pdf"
"Crotamiton","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_009112.pdf","Draft","Topical","Lotion","009112","10/21/2022","PSG_009112.pdf"
"Cyanocobalamin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyanocobalamin_nasal metered spray_NDA 021642_RC05-17.pdf","Draft","Nasal","Spray","021642","07/13/2017","Cyanocobalamin_nasal metered spray_NDA 021642_RC05-17.pdf"
"Cyclobenzaprine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017821.pdf","Draft","Oral","Tablet","017821","10/30/2024","PSG_017821.pdf"
"Cyclobenzaprine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyclobenzaprine HCl_oral tablet _RLD 17821_final 08-17.pdf","Draft","Oral","Capsule, Extended Release","021777","11/23/2016","Cyclobenzaprine HCl_oral tablet _RLD 17821_final 08-17.pdf"
"Cyclophosphamide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyclophosphamide_oral tablet_040032_RV09-15.pdf","Draft","Oral","Tablet","040032","09/18/2015","Cyclophosphamide_oral tablet_040032_RV09-15.pdf"
"Cyclophosphamide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyclophosphamide_oral capsule_203856_RC06-15.pdf","Draft","Oral","Capsule","203856","06/24/2015","Cyclophosphamide_oral capsule_203856_RC06-15.pdf"
"Cycloserine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_060593.pdf","Draft","Oral","Capsule","060593","10/30/2024","PSG_060593.pdf"
"Cyclosporine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyclosporine_Oral capsule_RLD 050625_RV04-16.pdf","Draft","Oral","Capsule","050625","04/14/2016","Cyclosporine_Oral capsule_RLD 050625_RV04-16.pdf"
"Cyclosporine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyclosporine_Oral capsule_RLD 050715_RV04-16.pdf","Draft","Oral","Capsule","050715","04/14/2016","Cyclosporine_Oral capsule_RLD 050715_RV04-16.pdf"
"Cyclosporine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyclosporine_ophthalmic emulsion_RLD 050790_RV09-16.pdf","Draft","Ophthalmic","Emulsion","050790","10/04/2016","Cyclosporine_ophthalmic emulsion_RLD 050790_RV09-16.pdf"
"Cyclosporine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_217469.pdf","Draft","Ophthalmic","Solution","217469","11/19/2024","PSG_217469.pdf"
"Cyclosporine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyclosporine ophthalmic solution 0.09 NDA 210913 PSG Page RC May 2019.pdf","Draft","Ophthalmic","Solution/Drops","210913","05/15/2019","Cyclosporine ophthalmic solution 0.09 NDA 210913 PSG Page RC May 2019.pdf"
"Cyclosporine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214965.pdf","Draft","Ophthalmic","Emulsion","214965","08/02/2022","PSG_214965.pdf"
"Cyproheptadine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cyproheptadine hydrochloride_Oral tablet_087056_RC06-15.pdf","Draft","Oral","Tablet","012649","06/24/2015","Cyproheptadine hydrochloride_Oral tablet_087056_RC06-15.pdf"
"Cysteamine Bitartrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Cysteamine bitartrate_oral DR capsule_NDA 203389_RV11-17.pdf","Draft","Oral","Capsule, Delayed Release","203389","02/08/2018","Cysteamine bitartrate_oral DR capsule_NDA 203389_RV11-17.pdf"
"Cysteamine Bitartrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213491.pdf","Draft","Oral","Granule, Delayed Release","213491","03/24/2021","PSG_213491.pdf"
"Cytarabine; Daunorubicin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209401.pdf","Draft","Intravenous","Powder","209401","08/02/2022","PSG_209401.pdf"
"Dabigatran Etexilate Mesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Dabigatran etexilate mesylate_oral capsule_NDA 022512_RV05-17.pdf","Draft","Oral","Capsule","022512","07/13/2017","Dabigatran etexilate mesylate_oral capsule_NDA 022512_RV05-17.pdf"
"Dabrafenib Mesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Dabrafenib mesylate_oral capsule_202806_RC06-15.pdf","Draft","Oral","Capsule","202806","06/24/2015","Dabrafenib mesylate_oral capsule_202806_RC06-15.pdf"
"Daclatasvir Dihydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206843.pdf","Draft","Oral","Tablet","206843","10/30/2024","PSG_206843.pdf"
"Dacomitinib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211288.pdf","Draft","Oral","Tablet","211288","10/30/2024","PSG_211288.pdf"
"Dalfampridine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022250.pdf","Draft","Oral","Tablet, Extended Release","022250","08/22/2024","PSG_022250.pdf"
"Dalteparin Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Dalteparin_Inj_20287_RC09-12.pdf","Draft","Subcutaneous","Injectable","020287","09/19/2012","Dalteparin_Inj_20287_RC09-12.pdf"
"Danazol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Danazol_cap_74582_RC10-05.pdf","Final","Oral","Capsule","074582","05/01/2008","Danazol_cap_74582_RC10-05.pdf"
"Dantrolene Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205579.pdf","Draft","Intravenous","For Suspension","205579","08/02/2022","PSG_205579.pdf"
"Dantrolene Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017443.pdf","Draft","Oral","Capsule","017443","10/30/2024","PSG_017443.pdf"
"Dapagliflozin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202293.pdf","Draft","Oral","Tablet","202293","10/30/2024","PSG_202293.pdf"
"Dapagliflozin; Metformin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205649.pdf","Draft","Oral","Tablet, Extended Release","205649","08/22/2024","PSG_205649.pdf"
"Dapagliflozin; Metformin Hydrochloride; Saxagliptin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210874.pdf","Draft","Oral","Tablet, Extended Release","210874","03/02/2020","PSG_210874.pdf"
"Dapagliflozin; Saxagliptin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209091.pdf","Draft","Oral","Tablet","209091","10/30/2024","PSG_209091.pdf"
"Daprodustat","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216951.pdf","Draft","Oral","Tablet","216951","10/30/2024","PSG_216951.pdf"
"Dapsone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207154.pdf","Draft","Topical","Gel","207154","02/15/2024","PSG_207154.pdf"
"Dapsone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_086841.pdf","Draft","Oral","Tablet","086841                                                       086842","10/30/2024","PSG_086841.pdf"
"Dapsone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021794.pdf","Draft","Topical","Gel","021794","02/15/2024","PSG_021794.pdf"
"Daptomycin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/DAPTOMYCIN IV infusion powder NDA 209949 & NDA 208385 Page Feb 2019.pdf","Draft","IV Infusion","Powder","209949                                                       208385","02/22/2019","DAPTOMYCIN IV infusion powder NDA 209949 & NDA 208385 Page Feb 2019.pdf"
"Daridorexant Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214985.pdf","Draft","Oral","Tablet","214985","08/21/2023","PSG_214985.pdf"
"Darifenacin Hydrobromide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Darifenacin_HBr_ERtab_21513_RC8-05.pdf","Final","Oral","Tablet, Extended Release","021513","05/12/2008","Darifenacin_HBr_ERtab_21513_RC8-05.pdf"
"Darolutamide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_212099.pdf","Draft","Oral","Tablet","212099","10/30/2024","PSG_212099.pdf"
"Darunavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021976.pdf","Draft","Oral","Tablet","021976","10/30/2024","PSG_021976.pdf"
"Darunavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202895.pdf","Draft","Oral","Suspension","202895","10/30/2024","PSG_202895.pdf"
"Dasabuvir Sodium; Ombitasvir; Paritaprevir; Ritonavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/DasabuvirNa; Ombitasvir; Paritaprevir; Ritonavir_RC05-17.pdf","Draft","Oral","Tablet, Extended Release","208624","07/13/2017","DasabuvirNa; Ombitasvir; Paritaprevir; Ritonavir_RC05-17.pdf"
"Dasabuvir Sodium;Ombitasvir;Paritaprevir;Ritonavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Obitasvir_paritaprevir_ritonavir_dasabuvir_oral tablet_206619_RC09-15.pdf","Draft","Oral","Tablet, Tablet","206619","09/18/2015","Obitasvir_paritaprevir_ritonavir_dasabuvir_oral tablet_206619_RC09-15.pdf"
"Dasatinib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021986.pdf","Draft","Oral","Tablet","021986","10/30/2024","PSG_021986.pdf"
"Dasiglucagon Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214231.pdf","Draft","Subcutaneous","Solution","214231","08/02/2022","PSG_214231.pdf"
"Daunorubicin Citrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050704.pdf","Draft","Injection","Injectable, Liposomal","050704","11/17/2022","PSG_050704.pdf"
"Deferasirox","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Deferasirox_oral tablet_RLD 206910_RC04-16.pdf","Draft","Oral","Tablet","206910","04/14/2016","Deferasirox_oral tablet_RLD 206910_RC04-16.pdf"
"Deferasirox","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Deferasirox_susp_21882_RC5-06.pdf","Final","Oral","Tablet, For Suspension","021882","05/12/2008","Deferasirox_susp_21882_RC5-06.pdf"
"Deferasirox","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Deferasirox_draft_Oral gran_RLD 207968_RC07-18.pdf","Draft","Oral","Granule","207968","07/20/2018","Deferasirox_draft_Oral gran_RLD 207968_RC07-18.pdf"
"Deferiprone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_212269.pdf","Draft","Oral","Tablet","212269","11/17/2022","PSG_212269.pdf"
"Deferiprone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021825.pdf","Draft","Oral","Tablet","021825","10/30/2024","PSG_021825.pdf"
"Defibrotide Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208114.pdf","Draft","Intravenous","Solution","208114","05/18/2023","PSG_208114.pdf"
"Deflazacort","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208685.pdf","Draft","Oral","Suspension","208685","10/30/2024","PSG_208685.pdf"
"Deflazacort","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208684.pdf","Draft","Oral","Tablet","208684","10/30/2024","PSG_208684.pdf"
"Degarelix Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022201.pdf","Draft","Subcutaneous","Powder","022201","03/24/2021","PSG_022201.pdf"
"Delafloxacin Meglumine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208610.pdf","Draft","Oral","Tablet","208610","10/30/2024","PSG_208610.pdf"
"Delavirdine Mesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020705.pdf","Draft","Oral","Tablet","020705","10/30/2024","PSG_020705.pdf"
"Demeclocycline Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Demeclocycline_HCl_tab_50261_RC10-08.pdf","Draft","Oral","Tablet","050261","10/01/2008","Demeclocycline_HCl_tab_50261_RC10-08.pdf"
"Desipramine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_014399.pdf","Draft","Oral","Tablet","014399","10/30/2024","PSG_014399.pdf"
"Desloratadine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021165.pdf","Draft","Oral","Tablet","021165","10/30/2024","PSG_021165.pdf"
"Desloratadine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021312.pdf","Draft","Oral","Tablet, Orally Disintegrating","021312","10/30/2024","PSG_021312.pdf"
"Desloratadine; Pseudoephedrine Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Desloratadine_Pseudoephedrine_Oral_Extended_Release_Tablet_NDA_021313_PSG_Page_RC_May_2019.pdf","Draft","Oral","Tablet, Extended Release","021313","05/15/2019","Desloratadine_Pseudoephedrine_Oral_Extended_Release_Tablet_NDA_021313_PSG_Page_RC_May_2019.pdf"
"Desmopressin Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Desmopressin acetate Sublingual Tablets NDA 022517 PSG Page RC May 2019.pdf","Draft","Sublingual","Tablet","022517","05/15/2019","Desmopressin acetate Sublingual Tablets NDA 022517 PSG Page RC May 2019.pdf"
"Desmopressin Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019955.pdf","Draft","Oral","Tablet","019955","10/30/2024","PSG_019955.pdf"
"Desogestrel; Ethinyl Estradiol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020071.pdf","Draft","Oral","Tablet","020301","10/30/2024","PSG_020071.pdf"
"Desogestrel; Ethinyl Estradiol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021090.pdf","Draft","Oral","Tablet","021090","10/30/2024","PSG_021090.pdf"
"Desogestrel; Ethinyl Estradiol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020713.pdf","Draft","Oral","Tablet","020713","10/30/2024","PSG_020713.pdf"
"Desonide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Desonide_topical ointment_RLD 017426_RC09-16.pdf","Draft","Topical","Ointment","017426","10/04/2016","Desonide_topical ointment_RLD 017426_RC09-16.pdf"
"Desonide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Desonide_topical cream_RLD 017010_RC01-16.pdf","Draft","Topical","Cream","017010","01/27/2016","Desonide_topical cream_RLD 017010_RC01-16.pdf"
"Desonide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Desonide_topical lotion_RLD 072354_RC01-16.pdf","Draft","Topical","Lotion","072354","01/27/2016","Desonide_topical lotion_RLD 072354_RC01-16.pdf"
"Desonide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021978.pdf","Draft","Topical","Aerosol, Foam","021978","11/18/2020","PSG_021978.pdf"
"Desonide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Desonide_draft_Topical gel_RLD 021844_RC09-18.pdf","Draft","Topical","Gel","021844","09/13/2018","Desonide_draft_Topical gel_RLD 021844_RC09-18.pdf"
"Desoximetasone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Desoximetasone_topical spray 0.25_204141_RC03-15.pdf","Draft","Topical","Spray","204141","03/06/2015","Desoximetasone_topical spray 0.25_204141_RC03-15.pdf"
